INDEX	CODE	SHORT OPENING	OPENING	ORG		
84	A73	Benoni		Benoni	Classical, 9.O-O	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O
85	A74	Benoni		Benoni	Classical, 9...a6, 10.a4	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O a6 10. a4
86	A75	Benoni		Benoni	Classical with ...a6 and 10...Bg4	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O a6 10. a4 Bg4
87	A76	Benoni		Benoni	Classical, 9...Re8	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8
88	A77	Benoni		Benoni	Classical, 9...Re8, 10.Nd2	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8 10. Nd2
89	A78	Benoni		Benoni	Classical with ...Re8 and ...Na6	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8 10. Nd2 Na6
90	A79	Benoni		Benoni	Classical, 11.f3	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8 10. Nd2 Na6 11. f3
91	A02	Bird		Bird's Opening		1. f4
92	A02	Bird		Bird	From gambit	1. f4 e5
93	A02	Bird		Bird	From gambit, Lasker Variation 	1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 g5
94	A02	Bird		Bird	From gambit, Lipke Variation 	1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 Nh6 5. d4
95	A02	Bird		Bird's Opening, Swiss gambit		1. f4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4
96	A02	Bird		Bird	Hobbs gambit	1. f4 g5
97	A03	Bird		Bird's Opening		1. f4 d5
98	A03	Bird		Bird's Opening	Williams gambit	1. f4 d5 2. e4
99	A03	Bird		Bird's Opening	Lasker Variation 	1. f4 d5 2. Nf3 Nf6 3. e3 c5
100	C23	Bishop		Bishop's Opening		1. e4 e5 2. Bc4
101	C23	Bishop		Bishop's Opening	Philidor counter-attack	1. e4 e5 2. Bc4 c6
102	C23	Bishop		Bishop's Opening	Lisitsyn Variation 	1. e4 e5 2. Bc4 c6 3. d4 d5 4. exd5 cxd5 5. Bb5+ Bd7 6. Bxd7+ Nxd7 7. dxe5 Nxe5 8. Ne2
103	C23	Bishop		Bishop's Opening	Calabrese counter-gambit	1. e4 e5 2. Bc4 f5
104	C23	Bishop		Bishop's Opening	Calabrese counter-gambit, Jaenisch Variation 	1. e4 e5 2. Bc4 f5 3. d3
105	C23	Bishop		Bishop's Opening	Classical Variation 	1. e4 e5 2. Bc4 Bc5
106	C23	Bishop		Bishop's Opening	Lopez gambit	1. e4 e5 2. Bc4 Bc5 3. Qe2 Nc6 4. c3 Nf6 5. f4
107	C23	Bishop		Bishop's Opening	Philidor Variation 	1. e4 e5 2. Bc4 Bc5 3. c3
108	C23	Bishop		Bishop's Opening	Pratt Variation 	1. e4 e5 2. Bc4 Bc5 3. c3 Nf6 4. d4 exd4 5. e5 d5 6. exf6 dxc4 7. Qh5 O-O
109	C23	Bishop		Bishop's Opening	Lewis counter-gambit	1. e4 e5 2. Bc4 Bc5 3. c3 d5
110	C23	Bishop		Bishop's Opening	del Rio Variation 	1. e4 e5 2. Bc4 Bc5 3. c3 Qg5
111	C23	Bishop		Bishop's Opening	Lewis gambit	1. e4 e5 2. Bc4 Bc5 3. d4
112	C23	Bishop		Bishop's Opening	Wing gambit	1. e4 e5 2. Bc4 Bc5 3. b4
113	C23	Bishop		Bishop's Opening	MacDonnell double gambit	1. e4 e5 2. Bc4 Bc5 3. b4 Bxb4 4. f4
114	C23	Bishop		Bishop's Opening	Four pawns' gambit	1. e4 e5 2. Bc4 Bc5 3. b4 Bxb4 4. f4 exf4 5. Nf3 Be7 6. d4 Bh4+ 7. g3 fxg3 8. O-O gxh2+ 9. Kh1
115	C24	Bishop		Bishop's Opening	Berlin defense	1. e4 e5 2. Bc4 Nf6
116	C24	Bishop		Bishop's Opening	Greco gambit	1. e4 e5 2. Bc4 Nf6 3. f4
117	C24	Bishop		Bishop's Opening	Ponziani gambit	1. e4 e5 2. Bc4 Nf6 3. d4
118	C24	Bishop		Bishop's Opening	Urusov gambit	1. e4 e5 2. Bc4 Nf6 3. d4 exd4 4. Nf3
119	C24	Bishop		Bishop's Opening	Urusov gambit, Panov Variation 	1. e4 e5 2. Bc4 Nf6 3. d4 exd4 4. Nf3 d5 5. exd5 Bb4+ 6. c3 Qe7+
120	C50	Blackburne		Blackburne shilling gambit		1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4 4. Nxe5 Qg5 5. Nxf7 Qxg2 6. Rf1 Qxe4+ 7. Be2 Nf3#
121	D00	Blackmar		Blackmar gambit		1. d4 d5 2. e4
122	A45	Blackmar-Diemer		Blackmar-Diemer gambit		1. d4 Nf6 2. f3 d5 3. e4
123	D00	Blackmar-Diemer		Blackmar-Diemer gambit		1. d4 d5 2. Nc3 Nf6 3. e4
