A24	English	English	Bremen system with ...g6	1. c4 e5 2. Nc3 Nf6 3. g3 g6
A25	English	English	Sicilian Reversed	1. c4 e5 2. Nc3 Nc6
A25	English	English	Closed system	1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7
A25	English	English	Closed, Taimanov Variation 	1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e3 d6 6. Nge2 Nh6
A25	English	English	Closed, Hort Variation 	1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e3 d6 6. Nge2 Be6
A25	English	English	Closed, 5.Rb1	1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Rb1
A25	English	English	Closed, 5.Rb1 Taimanov Variation 	1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Rb1 Nh6
A25	English	English	Closed system (without ...d6)	1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3
A26	English	English	Closed system	1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6
A26	English	English	Botvinnik system	1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. e4
A27	English	English	Three knights system	1. c4 e5 2. Nc3 Nc6 3. Nf3
A28	English	English	Four knights system	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6
A28	English	English	Nenarokov Variation 	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. d4 exd4 5. Nxd4 Bb4 6. Bg5 h6 7. Bh4 Bxc3+ 8. bxc3 Ne5
A28	English	English	Bradley Beach Variation 	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. d4 e4
A28	English	English	Four knights, Nimzovich Variation 	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. e4
A28	English	English	Four knights, Marini Variation 	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. a3
A28	English	English	Four knights, Capablanca Variation 	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. d3
A28	English	English	Four knights, 4.e3	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. e3
A28	English	English	Four knights, Stean Variation 	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. e3 Bb4 5. Qc2 O-O 6. Nd5 Re8 7. Qf5
A28	English	English	Four knights, Romanishin Variation 	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. e3 Bb4 5. Qc2 Bxc3
A29	English	English	Four knights, kingside Fianchetto	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. g3
A30	English	English	Symmetrical Variation 	1. c4 c5
A30	English	English	Symmetrical, hedgehog system	1. c4 c5 2. Nf3 Nf6 3. g3 b6 4. Bg2 Bb7 5. O-O e6 6. Nc3 Be7
A30	English	English	Symmetrical, hedgehog, flexible formation	1. c4 c5 2. Nf3 Nf6 3. g3 b6 4. Bg2 Bb7 5. O-O e6 6. Nc3 Be7 7. d4 cxd4 8. Qxd4 d6 9. Rd1 a6 10. b3 Nbd7
A31	English	English	Symmetrical, Benoni formation	1. c4 c5 2. Nf3 Nf6 3. d4
A32	English	English	Symmetrical Variation 	1. c4 c5 2. Nf3 Nf6 3. d4 cxd4 4. Nxd4 e6
